rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
176,"spotify:track:3MBNAfBXIq9fI2Sez8EcNX","Duki, De La Ghetto, Quevedo","Si Quieren Frontear","DALE PLAY Records / SSJ Records",1,174,338,"45137"
177,"spotify:track:7B8Oux2lcjPTfInXAbabbx","Recycled J, Selecta","150 CANCIONES","WM Spain",20,182,31,"44982"
178,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",120,-1,41,"44957"
179,"spotify:track:0rvbMTIWwMZaMC9UnubDPb","Mora","DOMINGO DE BOTE","Rimas Entertainment LLC",3,171,122,"44825"
180,"spotify:track:57Ba26w9eoXx8BBUNgRNLV","Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön","La Forma en Que Me Miras","2020 Superiority | Powered by GLAD EMPIRE, LLC",55,185,336,"44775"
181,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",16,-1,133,"44616"
182,"spotify:track:20RGQHWvqyyacpuxMBeLsZ","El Taiger, DJ Conds","La Historia","El Taiger",4,175,596,"44337"
183,"spotify:track:4YPb50baBdGc1qF8bCmZ13","Omar Montes, Jairo deRemache, Farruquito","La Llama del Amor - Riega Este Querer - Rumba/Alborea","Sony Music Latin",6,164,254,"44314"
184,"spotify:track:3JCaq3KDSROg3TXhdiDa9n","Jhayco, Anuel AA","Ley Seca","N&E Entertainment LLC",2,176,540,"43958"
185,"spotify:track:1HNcDOIGo9CE4sZoK5mhCq","Juseph, Cruz Cafuné, Wiso Rivera","Muchoperro","Juseph",21,161,185,"43954"
186,"spotify:track:0FDTPGlLjF8SGWSsHyzNBe","Rels B","pa quererte","DALE PLAY Records / Flakk Team",16,197,122,"43882"
187,"spotify:track:0MEZYGMSPxNwUO4nAdQRBW","Eladio Carrion","Hola Como Vas","Rimas Entertainment LLC",132,-1,62,"43867"
188,"spotify:track:6stWVqWxtPPednHy1mzoOz","Rvfv, Kikimoteleba","Tigini (Remix)","NASTU MUSIC",2,179,272,"43817"
189,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",104,191,124,"43641"
